File,Actual,Predicted
"ramp/jZL3iqPQFHzsbcdNF2zIXwcrop1088.0,-405.0.jpg",ramp,ramp
"ramp/CBvYU_7-y3LBa9CaUeRpHAcrop2760.0,-287.0.jpg",ramp,ramp
"ramp/U2dXJApnevu-vwNgrwqjjAcrop1094.0,-744.0.jpg",ramp,ramp
"obstruction/Btx_jn4wzlB7lCJznodB8gcrop1627.0,-281.0.jpg",obstruction,obstruction
"ramp/q15e66gfNGcg5822Bg2awQcrop4781.0,-468.0.jpg",ramp,ramp
"ramp/w7ObGEuvBtdCtT23tPBW4Qcrop6094.0,-309.0.jpg",ramp,ramp
"obstruction/TjhqlXBU3RBoOploCRS_xgcrop2128.0,-289.0.jpg",obstruction,obstruction
"ramp/NGAbfl35iQCsBaVfwr9jrQcrop8199.0,-940.0.jpg",ramp,ramp
"ramp/GKlxlnwtV3oPpw---HTBPgcrop11313.0,-847.0.jpg",ramp,ramp
"missing_ramp/O1-QqGzzYN_KM6ogY01l5wcrop12437.0,-315.0.jpg",missing_ramp,ramp
"ramp/imZsqK-AdHWG4zGMrOhKEAcrop3985.0,-1030.0.jpg",ramp,ramp
"ramp/r72o2hE4bNm3GGbKwWHl6wcrop7590.0,-798.0.jpg",ramp,ramp
"obstruction/eDU50TTsM0MWChWNKF_neAcrop6590.0,-923.0.jpg",obstruction,obstruction
"null/VhbMAzKuvPfcWdUpSm-9GQcrop2999.153746,-2804.228764.jpg",null,null
"null/GVPH-C0O-Qd3pxKhtTirVAcrop8094.325208,-1762.709717.jpg",null,null
"ramp/Et4TYmzWzHhctynEodCmZwcrop1778.0,-610.0.jpg",ramp,ramp
"ramp/cbSE1tWn9pWYMzWIz4zCMwcrop4974.0,-299.0.jpg",ramp,ramp
"sfc_problem/ucxXVflYW67Wbp1G1_RJUQcrop10341.0,-651.0.jpg",sfc_problem,sfc_problem
"null/gONdYEs2uM5C2ZoNl1wzNAcrop1628.581546,367.0203223.jpg",null,null
"ramp/xg90tvJMynu2CeUMbz7nxAcrop4478.0,-292.0.jpg",ramp,ramp
