File,Actual,Predicted
"obstruction/vZ24NBC7wU5Ky0omukRPmgcrop1748.0,-537.0.jpg",obstruction,obstruction
"sfc_problem/fBQi6TAbctsnuXEkgTjU7gcrop5860.0,-439.0.jpg",sfc_problem,sfc_problem
"null/ZvIJUEOTfpqkFj3ggY8W1Acrop12132.0,-145.0.jpg",null,missing_ramp
"sfc_problem/tfbLvp9AXICPy1rVrevJIAcrop12538.0,-82.0.jpg",sfc_problem,ramp
"null/4l3EEIu0plhhQGtlzPAfuwcrop10039.0,-1094.0.jpg",null,null
"ramp/s8UXz5ItjRO4CgVE8Y8D1gcrop11985.0,-510.0.jpg",ramp,ramp
"null/1AbQJspygYeCD1eXl-HHNwcrop8794.0,-193.0.jpg",null,ramp
"ramp/273jMbv01qXmghYoMcrbnAcrop3509.0,-409.0.jpg",ramp,ramp
"ramp/yd5qru1d2jIaBwfNwBl5pwcrop1717.0,-457.0.jpg",ramp,ramp
"null/D1d8_1zf4MK2njkQRmTGZwcrop1586.0,-1592.0.jpg",null,null
"ramp/iZwgWU5kUk59Kdq06xK-egcrop5703.0,-138.0.jpg",ramp,ramp
"ramp/0KjoViF5xreeiPSb1RuThQcrop1116.0,-741.0.jpg",ramp,ramp
"ramp/dVUXrLDjVqeSqeYmjjaXpQcrop12266.0,-497.0.jpg",ramp,ramp
"null/vZ24NBC7wU5Ky0omukRPmgcrop7317.0,-1009.0.jpg",null,ramp
"ramp/mU-sRiowgEKrvAc5jEZbSgcrop12628.0,-217.0.jpg",ramp,ramp
"ramp/EL3Nsazejy-Smu39GCP_jAcrop9367.0,-369.0.jpg",ramp,ramp
"null/3wTqeXF1Gq1o5e8D7a4eIQcrop10320.0,-1460.0.jpg",null,null
"ramp/wCqJksD1tT33NGHgpYS2mQcrop12330.0,-164.0.jpg",ramp,ramp
"ramp/UllByZTAKraVZUR5AsaTQwcrop2006.0,-561.0.jpg",ramp,ramp
"ramp/StjXR2xuruJsCG6HmP96IQcrop9297.0,-337.0.jpg",ramp,ramp
"ramp/mB-7kbD5yW8rEKse-MWnZQcrop10159.0,-100.0.jpg",ramp,ramp
"obstruction/tbV5UC1ZxSvX7HrmjTjo_gcrop4385.0,-771.0.jpg",obstruction,obstruction
"sfc_problem/R8_bXzGLA2uYFNYrlSdPNAcrop9224.0,-733.0.jpg",sfc_problem,missing_ramp
"sfc_problem/XNUdc2mm7ozwMAk-j4Mndwcrop13216.0,-221.0.jpg",sfc_problem,missing_ramp
"ramp/7IW3PNUoQ3CzJOjuc6XP4Qcrop10426.0,-277.0.jpg",ramp,ramp
"ramp/mU-sRiowgEKrvAc5jEZbSgcrop8009.0,-131.0.jpg",ramp,ramp
"ramp/JRuTA818Vn4-8Cb9M2dahAcrop7898.0,-216.0.jpg",ramp,obstruction
"ramp/70aKIFghWmt-1fCIsErzOAcrop724.0,-538.0.jpg",ramp,ramp
"ramp/vZ24NBC7wU5Ky0omukRPmgcrop5873.0,-514.0.jpg",ramp,ramp
"null/tbV5UC1ZxSvX7HrmjTjo_gcrop5532.0,-233.0.jpg",null,obstruction
"ramp/FsbuhMNATM2yDyTFC_dNCAcrop12130.0,-344.0.jpg",ramp,ramp
"null/hIRdT70ztD1dHUv4CTL0vQcrop11038.0,-1528.0.jpg",null,null
"ramp/GXruCkxCjHAWUDqcmHfAxwcrop12956.0,-82.0.jpg",ramp,ramp
"sfc_problem/tfbLvp9AXICPy1rVrevJIAcrop12207.0,-193.0.jpg",sfc_problem,sfc_problem
"ramp/mB-7kbD5yW8rEKse-MWnZQcrop10276.0,-196.0.jpg",ramp,ramp
"ramp/yvqfSIOCZQV0COq1odQNZwcrop6655.0,-179.0.jpg",ramp,ramp
"missing_ramp/4771YFmFGjOsfbO2JNF3Xwcrop7005.0,-491.0.jpg",missing_ramp,missing_ramp
"obstruction/EuE9l3upJLYZc0TkNgpeLQcrop4320.0,-482.0.jpg",obstruction,obstruction
"ramp/HV4gT43_kUPsXMmO_SU3Ogcrop12372.0,-1647.0.jpg",ramp,ramp
"ramp/ee7kMpMrgSgWqw194aoJ_wcrop279.0,-118.0.jpg",ramp,obstruction
"obstruction/aE-hvKvafEtkg4hR0IuV-Qcrop1095.0,41.0.jpg",obstruction,ramp
"null/betttaqtbxoxAenR4qXzaQcrop3369.0,-54.0.jpg",null,ramp
"ramp/ms6i0cd5367SyaoXPmfmpAcrop175.0,-146.0.jpg",ramp,ramp
"ramp/oelHXIPFCxM-GrqjXJ_Rjwcrop5449.0,-264.0.jpg",ramp,ramp
"missing_ramp/XNUdc2mm7ozwMAk-j4Mndwcrop8650.0,-1208.0.jpg",missing_ramp,missing_ramp
"missing_ramp/1R8sTrcpWMTmfOtH4Ima0Acrop1528.0,-167.0.jpg",missing_ramp,obstruction
