File,Actual,Predicted
"null/PODHAqgQ8VMCJQGjrP3YZQcrop2881.0,-800.0.jpg",null,sfc_problem
"null/XrqJR5xoo1MQsqyQGLQMLgcrop2211.0,-354.0.jpg",null,obstruction
"null/idlxrsZ4RE1YMS6-gEA9YAcrop2454.0,-369.0.jpg",null,null
"ramp/HlKYeAz35rEobZcsjGbfUAcrop2776.0,-1324.0.jpg",ramp,ramp
"null/HKTVIiP4w9w3s0TIWO2ncwcrop11124.0,-283.0.jpg",null,missing_ramp
"null/k8J3zs7rZi1vUyg9CU980gcrop12913.0,-901.0.jpg",null,obstruction
"null/EyhhtyJNDvxZrqgDG2EWxAcrop307.0,-624.0.jpg",null,missing_ramp
"null/rnO78h_5ep9ZOEfSsRgbjwcrop11573.0,-1483.0.jpg",null,ramp
"ramp/UbdfpdTPlSgiCIupLPNrtgcrop10681.0,-814.0.jpg",ramp,sfc_problem
"null/JtNFQ2bWC8rEcK_JgX8juwcrop6915.0,-931.0.jpg",null,ramp
"null/ys2VgcH9L_kXw7-IZUOl-wcrop12897.0,-1509.0.jpg",null,null
"null/2h9AQMao3vzfSXBOPIF3LQcrop7265.0,-544.0.jpg",null,obstruction
"null/4Frz4llAD0ZcYH6_sa-7owcrop444.0,-251.0.jpg",null,ramp
"null/3-33aljy18tGJcyDSUfuowcrop12038.0,-1149.0.jpg",null,ramp
"ramp/stxXyCKAbd73DmkM2vsIHAcrop4916.0,-826.0.jpg",ramp,ramp
"null/05VE31kKS6Who1dP9MRjmwcrop11187.0,-363.0.jpg",null,ramp
"null/yIL7oLj9BOA-8BHL2n4ZuQcrop1548.0,-899.0.jpg",null,null
"null/iJ9coshSKeZSpBVYysLRdwcrop5042.0,-443.0.jpg",null,ramp
"null/q3gKU-Hogswpjw0fiCWR-gcrop11261.0,-323.0.jpg",null,ramp
"ramp/ZNdVtFzqaDndcdY2KhdwaAcrop1662.0,-527.0.jpg",ramp,ramp
"sfc_problem/8Ium-FeyYE78zBu5Qa9obgcrop5188.0,-1326.0.jpg",sfc_problem,sfc_problem
"null/tf4YpwV81NqeEVCC0QH-owcrop12042.0,-1521.0.jpg",null,missing_ramp
"null/7bOEp8qpoKrKTyZoUTnf2Acrop437.0,-922.0.jpg",null,ramp
"ramp/bSxCID6uBCpZmFV3qtVn2Qcrop10560.0,-590.0.jpg",ramp,ramp
"null/E_WuObwm8kmDtoakSGc_-Qcrop1647.0,-40.0.jpg",null,ramp
"sfc_problem/ehnkoU26WV_8wYwaM1xq7wcrop8273.0,-501.0.jpg",sfc_problem,sfc_problem
"null/cL84paIIJV9btUz-F2QnVQcrop9339.0,-631.0.jpg",null,null
"null/rtWQdqYJRjTQZfGae_MtbAcrop1491.0,-1247.0.jpg",null,ramp
"sfc_problem/jPiQomLnLSFhFLJBbfjBdwcrop8461.0,-1349.0.jpg",sfc_problem,sfc_problem
"null/LIvi36XWeF_96MtSTOFgzAcrop8972.0,-147.0.jpg",null,ramp
"null/xy4qMC9MzH3YVGz1ipu1aAcrop4396.0,-354.0.jpg",null,ramp
"null/mEB-QVAXvXopTNx-XcSQJwcrop1048.0,-1364.0.jpg",null,ramp
"ramp/9TWRMmx65hEUsd27jG1-AQcrop8321.0,-696.0.jpg",ramp,ramp
"null/NdBKZW6fbUgYixiTdfMbtwcrop5691.0,-1175.0.jpg",null,ramp
"missing_ramp/pjlG_bZXn97ksA_0BPFQcwcrop7974.0,-534.0.jpg",missing_ramp,missing_ramp
"null/8-e7Ec-eTD4Ug8CN6oQzyQcrop9089.0,-1049.0.jpg",null,null
"obstruction/CqZViUaMC05i0Gvuuq0rtAcrop12870.0,-438.0.jpg",obstruction,obstruction
"missing_ramp/3xIT4yteaomEtl5RK-PQxgcrop7330.0,-668.0.jpg",missing_ramp,missing_ramp
"null/eqdIToilMarS-5P7CtJU6gcrop12859.0,-1452.0.jpg",null,ramp
"ramp/cJOBILZ4usBcVzUjqA_QQwcrop2815.0,-375.0.jpg",ramp,ramp
"null/SOeswnneCqnNE5lk6qjARAcrop9656.0,-1562.0.jpg",null,null
"null/TQ7f_JLGDMg4VisAqOr5cAcrop1090.0,-1153.0.jpg",null,ramp
"null/ScEwnioYgOZsLbsgH0uWuQcrop635.0,-974.0.jpg",null,null
"null/HqCz5fv4iJq3FP83VGNdBQcrop4278.0,-1333.0.jpg",null,ramp
"null/vDdAIfWfNoCqcnlxq-wQrwcrop1118.0,-1399.0.jpg",null,ramp
"ramp/V1z5_U6Yi2ziVPF87rlPrAcrop13054.0,-418.0.jpg",ramp,ramp
"null/G7K37PmiI5RPHf27jXl6Tgcrop7148.0,-801.0.jpg",null,ramp
"sfc_problem/ZNDyPVugPooh88Di3mkvQQcrop4749.0,-643.0.jpg",sfc_problem,sfc_problem
"null/CQWl9_RgyNvjl01M3FN70Acrop11604.0,-614.0.jpg",null,ramp
"null/QfTDOS5uNPkOV-jL5BidFQcrop8290.0,-1113.0.jpg",null,obstruction
"null/xRmdI_Yh0mjXRl4jc17TEQcrop2500.0,-949.0.jpg",null,null
"null/hl7qVzrbjTrotqsd_HlmVAcrop4340.0,-1325.0.jpg",null,null
"null/gDx4polPnDV7HFkngdtpPwcrop10937.0,-1132.0.jpg",null,null
"null/nReNWH7yGUUAi1PsGNSuSQcrop3126.0,-791.0.jpg",null,ramp
"null/tLTkEk8CPWcZSmGM8Ynt2Acrop6132.0,-1456.0.jpg",null,null
"null/f8Ir7wElLx2i_p2RaPc09Acrop10174.0,-1253.0.jpg",null,null
"null/prizCTrvg8QXKN7xeN1zSQcrop11894.0,-1239.0.jpg",null,null
"null/y0uRYkTpLxTd0mEqAIkiZwcrop8274.0,-971.0.jpg",null,missing_ramp
"sfc_problem/cQx-5QjgZSYvES5V6bsGxAcrop6913.0,-652.0.jpg",sfc_problem,ramp
"null/md_k3saWuXuv89V1rmN9ygcrop11250.0,-1080.0.jpg",null,null
"ramp/HI3hVleJ-l-aYli-c5gbQAcrop7691.0,-657.0.jpg",ramp,ramp
"null/ucN2p_cdvG57w6-iKGnHhAcrop3002.0,-554.0.jpg",null,ramp
"null/FNyaEXpZmDLDN1JPg5-t3Qcrop11109.0,-1564.0.jpg",null,null
"null/DmvmQZoQ6bstpU_oP_BnXQcrop10413.0,-1637.0.jpg",null,null
"sfc_problem/AzRMi1QDx307MYxzC40VgAcrop3134.0,-753.0.jpg",sfc_problem,missing_ramp
"null/HZtz1YpkttWq1r8HJh7A8Qcrop3179.0,-152.0.jpg",null,ramp
"null/1Vxj7c-N0dmA55p3RT2t-gcrop4152.0,-394.0.jpg",null,ramp
"null/xy4qMC9MzH3YVGz1ipu1aAcrop3859.0,-1270.0.jpg",null,null
"null/q-c9U9DKkNq_ZK3L0imnGAcrop7802.0,-809.0.jpg",null,ramp
"missing_ramp/-XvR2Te41vBU743_xnLVDQcrop12582.0,-477.0.jpg",missing_ramp,missing_ramp
"ramp/yyoFz6WX5sEY_U4RZFuj8wcrop11978.0,-375.0.jpg",ramp,ramp
"null/tkpjWrYkcokJ9xbGmJGX-Acrop5121.0,-1381.0.jpg",null,ramp
"null/W_hkAiCIL3InNAAIw4_GPAcrop6583.0,-792.0.jpg",null,ramp
"null/MF-vteCVnoPMiGQJlZW1ggcrop3460.0,-739.0.jpg",null,ramp
"null/N01kSQi56u0Zs9Qun3UOxAcrop883.0,-952.0.jpg",null,ramp
"null/Q4uXZl5n_8G2_qgIKpQXrQcrop706.0,-90.0.jpg",null,null
"missing_ramp/Q7czVCXyndeISE7z0Nzd-Qcrop8953.0,-694.0.jpg",missing_ramp,missing_ramp
"null/3paKLUMkHNhQSX4FMh_QQgcrop5118.0,-807.0.jpg",null,ramp
"null/TWbN_lsJodMEuMMJMFU9Owcrop3489.0,-859.0.jpg",null,ramp
"null/5UrOgDxNaLl45_ZRAE28rAcrop4210.0,-340.0.jpg",null,sfc_problem
"sfc_problem/AzRMi1QDx307MYxzC40VgAcrop760.0,-587.0.jpg",sfc_problem,ramp
"ramp/Ill1v-jiIuPdLfzp1SG7Wgcrop10752.0,-659.0.jpg",ramp,ramp
"ramp/XrqJR5xoo1MQsqyQGLQMLgcrop11094.0,-1105.0.jpg",ramp,ramp
"ramp/IJ70FCDd9sg43W0cPWZPegcrop7941.0,-475.0.jpg",ramp,ramp
"null/pFv9pTu405bHa4uOH7K2bgcrop10054.0,-571.0.jpg",null,null
"ramp/stxXyCKAbd73DmkM2vsIHAcrop8184.0,-331.0.jpg",ramp,ramp
"null/9WRG5DormuEVQ-g25H9Fwgcrop2885.0,-665.0.jpg",null,ramp
"null/ggto9A0dyhJalJVw_TBX6Acrop8740.0,-1378.0.jpg",null,null
"null/gNglsuto47J534CRNhqfzQcrop4921.0,-1263.0.jpg",null,null
"null/RxtD3vttSw286H9RNryOrgcrop7159.0,-344.0.jpg",null,ramp
"null/cyd85pJoCnNOAeQTqBHvFAcrop4634.0,-1392.0.jpg",null,ramp
"missing_ramp/nc8dRsMhoBuCFIvAQLv_EAcrop517.0,-669.0.jpg",missing_ramp,missing_ramp
"sfc_problem/0d9yregAz6flTNV2sqHriAcrop7479.0,-839.0.jpg",sfc_problem,sfc_problem
"ramp/o80xlj0GSry-e2oqhc4-Ngcrop3300.0,-349.0.jpg",ramp,ramp
"ramp/IJ70FCDd9sg43W0cPWZPegcrop2182.0,-500.0.jpg",ramp,ramp
"ramp/IJ70FCDd9sg43W0cPWZPegcrop4935.0,-445.0.jpg",ramp,ramp
"null/fa2fhvCySWhpwGpm4mgoPgcrop1986.0,-234.0.jpg",null,ramp
"null/HJRo9bcn5Oc9s3tfogRTcQcrop4552.0,-1418.0.jpg",null,null
"ramp/TlPQkibClqX2pINUj2aItwcrop2914.0,-360.0.jpg",ramp,obstruction
"missing_ramp/q5KyS5ERjAw3HJOHVigtBQcrop8523.0,-745.0.jpg",missing_ramp,missing_ramp
"null/ozG26t0i-neKiKfKrEaOKQcrop10650.0,-1157.0.jpg",null,null
"null/3qC3AW_vPQEyHI5FWYS40wcrop5585.0,-5.0.jpg",null,ramp
"null/SLYljbeVjYEx-DBhenob9Qcrop1672.0,-74.0.jpg",null,obstruction
"ramp/k_uswPctAOII9HIISeRG2Acrop8339.0,-623.0.jpg",ramp,missing_ramp
"obstruction/oFmqXoT0wtlJhHTz4dBFVgcrop8622.0,-627.0.jpg",obstruction,obstruction
"null/mMpKyl6ToeWGAH6fkTtmkwcrop2160.0,-248.0.jpg",null,ramp
"null/wfS26TfdPLwZNToZHjNmnQcrop2380.0,-1560.0.jpg",null,null
"null/a_VALRr7-E50INqhVF_NZQcrop875.0,-658.0.jpg",null,null
"null/RdUATXjzSSQ3Cyl_5FT30Qcrop1030.0,-478.0.jpg",null,missing_ramp
"null/x_T1fIAvBLICfimLoiwKdwcrop11909.0,-1130.0.jpg",null,null
"null/y2gwTtp2y2v2zpU8BhaCYgcrop1237.0,-1616.0.jpg",null,null
"ramp/xuSWu_LTgf5WL27LXNQoEgcrop1594.0,-567.0.jpg",ramp,ramp
"ramp/-XvR2Te41vBU743_xnLVDQcrop1187.0,-475.0.jpg",ramp,ramp
"sfc_problem/1xhuyUYLzn5qo26azp53NAcrop5278.0,-388.0.jpg",sfc_problem,null
"null/gGk2Crw6oEZIDx8CeyUd-Qcrop3335.0,-30.0.jpg",null,ramp
"null/7ZyhTDQbhKUZkDXisXXDyQcrop10222.0,-861.0.jpg",null,null
"sfc_problem/PrMFBLLaRC5SE6hiujw4RAcrop10121.0,-789.0.jpg",sfc_problem,sfc_problem
"sfc_problem/Rok8gfiFjWWxSYMlQKN2fgcrop6359.0,-998.0.jpg",sfc_problem,sfc_problem
"null/Fc5vMaTeDXqs_QwJEoN-Bwcrop2086.0,-494.0.jpg",null,ramp
"null/Va8S1QM8pgL67LvOeS-Ergcrop5025.0,-1381.0.jpg",null,null
"null/_kQv2vFWHOTJuPdTQQdtOQcrop3535.0,-338.0.jpg",null,sfc_problem
"sfc_problem/gPSSaCg5fHzHgDd2XbTXLgcrop1815.0,-681.0.jpg",sfc_problem,sfc_problem
"null/W0dnspcuuxziFkAqCnzsGgcrop300.0,-329.0.jpg",null,sfc_problem
"obstruction/KdF7P5cdJ5Nat6yTyEIejwcrop12316.0,-587.0.jpg",obstruction,ramp
