File,Actual,Predicted
"null/1xhuyUYLzn5qo26azp53NAcrop2384.0,-1116.0.jpg",null,null
"null/jVWnKcPzzppqiWF4gfrrQQcrop8824.0,-826.0.jpg",null,null
"sfc_problem/hhejp5lcIjKaFVApuJniSwcrop4851.0,-740.0.jpg",sfc_problem,obstruction
"null/POV-hG1Svw45eQ8Q2ijFPgcrop7236.0,-747.0.jpg",null,null
"null/h_0BahAlmxFfwI_9_ia5xAcrop3004.0,-1176.0.jpg",null,null
"ramp/R_07fTpDU3owkWijLiknxwcrop12777.0,-1331.0.jpg",ramp,ramp
"null/LuQo9oXtsbshxSE_LM85Pwcrop2222.0,-710.0.jpg",null,null
"null/idlxrsZ4RE1YMS6-gEA9YAcrop2454.0,-369.0.jpg",null,null
"ramp/IJ70FCDd9sg43W0cPWZPegcrop4919.0,-427.0.jpg",ramp,ramp
"missing_ramp/owZMZwJ5iuGtNh_7XJ8XmAcrop494.0,-306.0.jpg",missing_ramp,ramp
"ramp/tkpjWrYkcokJ9xbGmJGX-Acrop3575.0,-542.0.jpg",ramp,null
"missing_ramp/nbL5eOovVNmGlRC4gb2wKwcrop12786.0,-620.0.jpg",missing_ramp,missing_ramp
"null/siXRqHUXYzGq5AcsA-t5_wcrop12111.0,-1498.0.jpg",null,null
"null/pFv9pTu405bHa4uOH7K2bgcrop10054.0,-571.0.jpg",null,null
"sfc_problem/zKTmL67GV6jTc3JpLktGwwcrop8686.0,-1234.0.jpg",sfc_problem,sfc_problem
"ramp/SsYztM3Os1NMBq60lkH2ygcrop11605.0,-550.0.jpg",ramp,ramp
"null/spYwfaEVmuMeVkMZ0Rf8PAcrop10949.0,-1569.0.jpg",null,null
"null/jkXcvUFZdDZnUlhVB8W03wcrop1695.0,-190.0.jpg",null,null
"ramp/q3gKU-Hogswpjw0fiCWR-gcrop9490.0,-233.0.jpg",ramp,ramp
"ramp/fzKxWHAwbXlmHBpDN3RPCgcrop5602.0,-784.0.jpg",ramp,ramp
"null/aacNWoUfIzS3dEmFwSZVXwcrop3149.0,-1595.0.jpg",null,null
"null/jOyCkiPOSu2NJHPSsRMoNgcrop10809.0,-608.0.jpg",null,null
"null/EjxxNpbz6N7O5DGGLX0sGQcrop6989.0,-121.0.jpg",null,null
"ramp/PddxDFDMP7ZMZ5vMbmkRcwcrop5541.0,-603.0.jpg",ramp,ramp
"sfc_problem/TXg6jT41E10VjR0p_n9wvAcrop6545.0,-780.0.jpg",sfc_problem,missing_ramp
"null/TK4M02uS2WbmW4nu5u2PzAcrop9657.0,-275.0.jpg",null,null
"null/pvz-67UGovz1ptDfiiayDwcrop6362.0,-1008.0.jpg",null,null
"null/kC_vwdtrtj-EV7pA3b1ZSwcrop10151.0,-1510.0.jpg",null,ramp
"missing_ramp/ooiE-3ZPH2Sm_Xo7XEcWgwcrop7704.0,-680.0.jpg",missing_ramp,missing_ramp
"null/cL1qKu3i6RMczWf_kQ4kJgcrop6322.0,-425.0.jpg",null,null
"sfc_problem/NED7xiuNE2Pjx0-8m5XcpAcrop6246.0,-984.0.jpg",sfc_problem,sfc_problem
"ramp/hZfGIH-oBkngHKdADJ7iiQcrop12990.0,-1515.0.jpg",ramp,ramp
"ramp/A1_vBCYER27l6R8a888A2Qcrop4968.0,-740.0.jpg",ramp,ramp
"null/_kQv2vFWHOTJuPdTQQdtOQcrop3535.0,-338.0.jpg",null,null
"null/mAINBIstKW1TPsrhdHTYCQcrop4037.0,-274.0.jpg",null,null
"null/y-jYZkTdZXXSDdvUlR1abAcrop3425.0,-1466.0.jpg",null,null
"null/jSFK5tiaJWwJndhIyO7fuwcrop5088.0,-725.0.jpg",null,null
"null/crWJS40ivQos2vqD9zTG3Acrop1933.0,-1371.0.jpg",null,null
"ramp/DmvmQZoQ6bstpU_oP_BnXQcrop991.0,-249.0.jpg",ramp,null
"ramp/l7GkDqO2dtXVHdMxCXRT8Qcrop11454.0,-805.0.jpg",ramp,ramp
"ramp/J55nh3-Gj-5RCW5n8nNazAcrop4821.0,-538.0.jpg",ramp,ramp
"null/F_BpIuPEXl02vjlcMQkcHQcrop3006.0,-782.0.jpg",null,null
"null/0_QWuisks95OoFCsu-rOagcrop10210.0,-453.0.jpg",null,ramp
"null/J_xEVrR0E3tQFfmWDrnMkAcrop2720.0,-1432.0.jpg",null,null
