gsv_panorama_id,sv_image_x,sv_image_y,label_type_id,photagrapher_heading,heading,is_researcher
stxXyCKAbd73DmkM2vsIHA,9718,-455,1,50.4137916565,262,t
stxXyCKAbd73DmkM2vsIHA,8179,-340,1,50.4137916565,200,t
stxXyCKAbd73DmkM2vsIHA,7784,-340,2,50.4137916565,200,t
stxXyCKAbd73DmkM2vsIHA,4962,-839,1,50.4137916565,97,t
stxXyCKAbd73DmkM2vsIHA,3879,-955,1,50.4137916565,97,t
stxXyCKAbd73DmkM2vsIHA,2708,-612,7,50.4137916565,97,t
stxXyCKAbd73DmkM2vsIHA,730,-800,1,50.4137916565,7,t
stxXyCKAbd73DmkM2vsIHA,730,-800,1,50.4137916565,7,t
3TO1sxavsQLIliltuPh5yw,11183,-514,1,180.3689117432,299.3236694336,t
3TO1sxavsQLIliltuPh5yw,9057,-602,1,180.3689117432,228.6986541748,t
3TO1sxavsQLIliltuPh5yw,3833,-371,6,180.3689117432,97.0736618042,t
2zMHlmqFF6V2SHqueb1fZA,595,-510,4,89.7510452271,20.665178299,t
cVV7quHvGXvu4-VKs_M9bQ,8139,-745,6,89.6410217285,206.2544708252,t
jQdLwvjVMqab7AAsMcrVQA,1305,-411,1,85.1781539917,17.8169651031,t
jQdLwvjVMqab7AAsMcrVQA,3860,-775,1,85.1781539917,87.0044631958,t
jQdLwvjVMqab7AAsMcrVQA,5378,-1048,1,85.1781539917,153.7544708252,t
jQdLwvjVMqab7AAsMcrVQA,9071,-705,1,85.1781539917,245.2544708252,t
jQdLwvjVMqab7AAsMcrVQA,9732,-544,1,85.1781539917,256.59375,t
jQdLwvjVMqab7AAsMcrVQA,600,-391,1,85.1781539917,12.5758924484,t
lk95zcW0edw2sZCB1rMPTA,12710,-408,1,106.5669403076,341.8660583496,t
lk95zcW0edw2sZCB1rMPTA,12123,-498,1,106.5669403076,328.1785583496,t
hYEH3dM1ydGeOvU7l906_A,7995,-401,1,255.2823944092,210.609375,t
hYEH3dM1ydGeOvU7l906_A,11453,-997,4,255.2823944092,308.3459777832,t
bV4C_Q1VLnHuAnCl0C5n6g,70,-640,3,234.0369262695,0.7633928657,t
7Y3UweyyZqDYGrFaXYUyUA,6474,-1402,3,90.3536071777,175.7633972168,t
9l6MO0OP2_Pxuyd-dbeuZg,8175,-1308,4,90.1583862305,203.7142791748,t
48JKHgwep8fxH0FYOrDxIg,8152,-1213,4,89.0884017944,182.9017791748,t
48JKHgwep8fxH0FYOrDxIg,6836,-1381,4,89.0884017944,182.9017791748,t
48JKHgwep8fxH0FYOrDxIg,5307,-1119,4,89.0884017944,182.9017791748,t
p-rJVykMOw5fr52Lo8svYw,12272,-1048,4,91.3041381836,333.6517944336,t
xtLnOVoyuXQoLpHgaC1T5g,1424,-920,1,90.6055297852,71.2924118042,t
xtLnOVoyuXQoLpHgaC1T5g,6038,-1530,1,90.6055297852,169.6361541748,t
iKQUgAy3Qng_G5aAZrrAqQ,2232,-628,1,40.2933540344,82.0625,t
iKQUgAy3Qng_G5aAZrrAqQ,2393,-469,1,40.2933540344,71.5625,t
iKQUgAy3Qng_G5aAZrrAqQ,12745,-318,1,40.2933540344,332,t
gyFuxqdBmrjXpxMkvJLUnA,4834,-1333,1,35.4939727783,102.5,t
gyFuxqdBmrjXpxMkvJLUnA,3771,-840,1,35.4939727783,102.5,t
gyFuxqdBmrjXpxMkvJLUnA,2045,-238,1,35.4939727783,61.8125,t
gyFuxqdBmrjXpxMkvJLUnA,11460,-377,1,35.4939727783,325.25,t
gyFuxqdBmrjXpxMkvJLUnA,11916,-268,2,35.4939727783,325.25,t
gyFuxqdBmrjXpxMkvJLUnA,11827,-199,1,35.4939727783,325.015625,t
gyFuxqdBmrjXpxMkvJLUnA,12744,-131,1,35.4939727783,342.828125,t
gyFuxqdBmrjXpxMkvJLUnA,909,-188,1,35.4939727783,22.90625,t
gyFuxqdBmrjXpxMkvJLUnA,1534,-200,1,35.4939727783,43.671875,t
A-eM226LYCgGNB1WLubj8Q,4014,-575,1,315.6326904297,121.3125,t
A-eM226LYCgGNB1WLubj8Q,5616,-205,1,315.6326904297,146.0625,t
A-eM226LYCgGNB1WLubj8Q,5858,-178,2,315.6326904297,161.71875,t
A-eM226LYCgGNB1WLubj8Q,6806,-184,2,315.6326904297,172.546875,t
A-eM226LYCgGNB1WLubj8Q,3599,-639,3,315.6326904297,89.34375,t
A-eM226LYCgGNB1WLubj8Q,1000,-813,4,315.6326904297,54.09375,t
A-eM226LYCgGNB1WLubj8Q,13015,-271,4,315.6326904297,14.53125,t
A-eM226LYCgGNB1WLubj8Q,2339,-946,4,315.6326904297,14.53125,t
A-eM226LYCgGNB1WLubj8Q,4108,-331,4,315.6326904297,110.90625,t
wgZ25_QKLDhmVEFkPAmBJw,7112,-294,2,223.0366363525,170.71875,t
wgZ25_QKLDhmVEFkPAmBJw,5291,-316,2,223.0366363525,170.71875,t
wgZ25_QKLDhmVEFkPAmBJw,4863,-324,1,223.0366363525,123.46875,t
wgZ25_QKLDhmVEFkPAmBJw,1574,-400,1,223.0366363525,70.96875,t
dd3XXVb8eaIf5FcUAMqySg,7170,-719,2,173.6896209717,189.65625,t
dd3XXVb8eaIf5FcUAMqySg,3740,-438,2,173.6896209717,113.34375,t
dd3XXVb8eaIf5FcUAMqySg,3508,-368,1,173.6896209717,113.34375,t
dd3XXVb8eaIf5FcUAMqySg,10095,-775,3,173.6896209717,268.96875,t
ENwChk0mv975oT08FxdQGQ,1974,-402,2,161.3479614258,36.28125,t
ENwChk0mv975oT08FxdQGQ,11062,-1174,2,161.3479614258,311.34375,t
ElKlsmPuAEyNlkkNamP1-A,7029,-508,1,160.6070709229,184.03125,t
ElKlsmPuAEyNlkkNamP1-A,3397,-359,1,160.6070709229,107.90625,t
ElKlsmPuAEyNlkkNamP1-A,4333,-264,1,160.6070709229,135.65625,t
ElKlsmPuAEyNlkkNamP1-A,4002,-218,7,160.6070709229,101.109375,t
ElKlsmPuAEyNlkkNamP1-A,6533,-205,1,160.6070709229,184.1294708252,t
ElKlsmPuAEyNlkkNamP1-A,4701,-219,1,160.6070709229,135.6473236084,t
ElKlsmPuAEyNlkkNamP1-A,6200,-175,2,160.6070709229,166.6294708252,t
D5Se4AuiyxHr2ht2CkjnBQ,6236,-393,2,183.4651641846,176.0044708252,t
D5Se4AuiyxHr2ht2CkjnBQ,6651,-458,1,183.4651641846,186.9866027832,t
D5Se4AuiyxHr2ht2CkjnBQ,9695,-1252,1,183.4651641846,257.7008972168,t
D5Se4AuiyxHr2ht2CkjnBQ,3253,-335,1,183.4651641846,89.3973236084,t
D5Se4AuiyxHr2ht2CkjnBQ,3729,-331,1,183.4651641846,89.3973236084,t
D5Se4AuiyxHr2ht2CkjnBQ,2971,-288,7,183.4651641846,89.3973236084,t
D5Se4AuiyxHr2ht2CkjnBQ,2047,-348,1,183.4651641846,66.8080368042,t
53PJ9NuERcvfRvPwoRIkUQ,5699,-564,1,126.8557510376,162.2142791748,t
53PJ9NuERcvfRvPwoRIkUQ,8044,-525,1,126.8557510376,234.9642791748,t
53PJ9NuERcvfRvPwoRIkUQ,9166,-433,1,126.8557510376,255.9642791748,t
53PJ9NuERcvfRvPwoRIkUQ,11360,-347,1,126.8557510376,303.0267944336,t
53PJ9NuERcvfRvPwoRIkUQ,12152,-267,1,126.8557510376,326.0892944336,t
