File,Actual,Predicted
"sfc_problem/PfUfvQBPMDtsbtpoPlTBpwcrop9386.0,-560.0.jpg",sfc_problem,obstruction
"null/hNLELQWxKFS9WaR0x16aPwcrop8206.0,-349.0.jpg",null,obstruction
"null/6ISWrKFODGY1RsTDVWfbEgcrop574.0,-1606.0.jpg",null,null
"obstruction/7YiyTzFbvNivLvYXAuu88Qcrop3852.0,-693.0.jpg",obstruction,obstruction
"null/Omg-n6f3ABLTLOeTyv5PWAcrop12897.0,-359.0.jpg",null,null
"null/D36lEwAyU5GtR8dHXkbkpAcrop10252.0,-194.0.jpg",null,ramp
"sfc_problem/AUppRPrzA-PtPjW8jfJ1lAcrop532.0,-520.0.jpg",sfc_problem,obstruction
"null/bgCkwWgjygVcSAM6YRg_Cwcrop4563.0,-1432.0.jpg",null,null
"null/lEH5No4eXvuuYSWKFZzAkgcrop427.0,-261.0.jpg",null,obstruction
"null/bUqWCwNqTxRDkOB7qqq_-Acrop8362.0,-741.0.jpg",null,obstruction
"null/XGSiU6m3bAhqEwoZtgrSEgcrop9773.0,-1188.0.jpg",null,ramp
"null/MBjqCi0xpxY0YkR7TwlWxgcrop10781.0,-166.0.jpg",null,ramp
"null/ssD5iz_pBUkMEMq6AKcX9gcrop10911.0,-759.0.jpg",null,obstruction
"null/7MUGzvisqGPhkgU93ieBVAcrop3218.0,-385.0.jpg",null,obstruction
"null/Hkkd46THdavEkpF-efxsTgcrop7170.0,-601.0.jpg",null,obstruction
"null/4rj8R4UKWQbcqz9DSd6BgAcrop1137.0,-862.0.jpg",null,obstruction
"ramp/U_2W2VIqIhhaIJOesAhC4Qcrop4995.0,-861.0.jpg",ramp,ramp
"null/LQIBE5AJ53FIoIMtq8Vb9gcrop10695.0,-235.0.jpg",null,null
"sfc_problem/IZrWTldig8WURrQ2PsctJQcrop8663.0,-397.0.jpg",sfc_problem,ramp
"null/_r4M4Zx7_PynciL3q1kaHwcrop10732.0,-859.0.jpg",null,ramp
"null/sXkmMr59Ly9dYXLH8COMEQcrop4650.0,-1230.0.jpg",null,obstruction
"sfc_problem/NRf4nUU9Yh145Fzc_WBAhgcrop8197.0,-321.0.jpg",sfc_problem,ramp
"ramp/XGSiU6m3bAhqEwoZtgrSEgcrop12035.0,-879.0.jpg",ramp,ramp
"null/IDEqIvTm_GjNYckgrjoVnQcrop7196.0,-1264.0.jpg",null,null
"null/n_mg230lk7NdaXpJw2l-Lwcrop4099.0,-925.0.jpg",null,obstruction
"obstruction/SyBRKwoEe9GPdCDLFUtSGgcrop1993.0,-294.0.jpg",obstruction,obstruction
"null/XGSiU6m3bAhqEwoZtgrSEgcrop7942.0,-276.0.jpg",null,obstruction
"null/99m6_hma5KmtLLASTx-S2Acrop2125.0,-1626.0.jpg",null,sfc_problem
"null/gGlOgsm4JxmTkNW336MSQAcrop12408.0,-77.0.jpg",null,null
"null/8ejO_cSMwXwh0Q8ki0nfSQcrop1453.0,-1224.0.jpg",null,null
"ramp/6chqaEJxkjf-TZt9J0pAngcrop711.0,-367.0.jpg",ramp,obstruction
"null/KxPcX3_Pq4N9mqu9KygGXgcrop9738.0,-370.0.jpg",null,null
"null/hROnAMt4yBTMOdbzh2TJ_gcrop938.0,-1690.0.jpg",null,null
"null/81BXypJJ8UrQ1AWRYBaIzgcrop3191.0,-114.0.jpg",null,ramp
"null/eFsxP3Bov-e7jiEGfN22Cwcrop11001.0,-1578.0.jpg",null,sfc_problem
"null/LbrtfwjqJ_VuI43wLumKkQcrop2600.0,-396.0.jpg",null,null
"null/s7WlIhJ95bnueTGLUjH4PAcrop11157.0,-438.0.jpg",null,obstruction
"null/IiRE5YiOovLIqZ9gasHm_wcrop5224.0,-410.0.jpg",null,ramp
"null/MdCkklI6d50H4bJN5hLtEAcrop12679.0,-338.0.jpg",null,ramp
"null/CQjksIgFfyU7aQdvuJOn8Acrop3002.0,-1221.0.jpg",null,ramp
"ramp/hROnAMt4yBTMOdbzh2TJ_gcrop11867.0,-1369.0.jpg",ramp,ramp
"null/EXEjEDuPiMJdaZUQ4ME4Dgcrop10050.0,-976.0.jpg",null,ramp
"ramp/2At5az6m7SkXrp-E5TCj4Acrop11764.0,-182.0.jpg",ramp,obstruction
"null/TVZAJVwmzxB6MHOnX9GCYgcrop5050.0,-130.0.jpg",null,null
"sfc_problem/oqP7byVfpym5eotQ9U4fdAcrop7709.0,-477.0.jpg",sfc_problem,obstruction
"null/DMyQsZNKbq0uYQlCFdqJuQcrop8406.0,-15.0.jpg",null,obstruction
"null/ROzxEcuCO0PK4qfTc7-ATAcrop9533.0,-1498.0.jpg",null,ramp
"obstruction/BH-c-15vWtNvcSwiXeczsAcrop7774.0,-326.0.jpg",obstruction,null
"null/I_ChkZ5c2M8k5eKSWOtzygcrop6223.0,-87.0.jpg",null,null
"null/ROzxEcuCO0PK4qfTc7-ATAcrop9739.0,-312.0.jpg",null,obstruction
"null/sz2e8oovK68x5s-2J1VsHwcrop7455.0,-414.0.jpg",null,obstruction
"sfc_problem/Apmevbs3kJTwv4jyrN8d4gcrop1973.0,-607.0.jpg",sfc_problem,obstruction
"null/Apmevbs3kJTwv4jyrN8d4gcrop10206.0,-1116.0.jpg",null,obstruction
"ramp/fILqT3EWJ_ZpezDigHJ-Awcrop4525.0,-299.0.jpg",ramp,obstruction
"null/GW8DMODCMfY4FEQO9Wnk3Qcrop7059.0,-1629.0.jpg",null,null
"null/W0qmQ3j0Qk_xp0Dmwut8-wcrop10739.0,-469.0.jpg",null,obstruction
"null/vc81FvLT-3qH9AKzLRA1pwcrop3699.0,-106.0.jpg",null,ramp
"null/b_oAXeqgQXNskG-vg5PiVQcrop8666.0,-1336.0.jpg",null,null
"null/GUHLeza3_msRdKpZNbPIIQcrop6718.0,-1397.0.jpg",null,ramp
"null/QmtfhalnBQ7CEsi1nJmm6gcrop8285.0,-969.0.jpg",null,obstruction
"null/NrCGs7Xf1tIiM0HqnIBs0gcrop7183.0,-612.0.jpg",null,ramp
"null/gyFuxqdBmrjXpxMkvJLUnAcrop9239.0,-912.0.jpg",null,ramp
"null/m8JdrN7g6CR32k7V2j4ypwcrop9641.0,-471.0.jpg",null,ramp
"null/LcHHGFemEOr-NGieevZOUQcrop12582.0,-1298.0.jpg",null,null
"ramp/vBRjYSo2WAiZh0hTbiK3wQcrop5804.0,-1366.0.jpg",ramp,null
"null/A3PLyoZEQuEiXE9w6oFOaQcrop12427.0,-493.0.jpg",null,obstruction
"null/vf8wpCXGilzNOCaz8-azMgcrop12921.0,-1548.0.jpg",null,null
"ramp/RoOyujZ_v9GlaDgmKdclvwcrop12369.0,-1526.0.jpg",ramp,null
"null/prMAsZ283Q-GBpPv9OA2IQcrop9736.0,-1442.0.jpg",null,obstruction
"null/HsgeyvychgYBpMjEW1wA9wcrop3168.0,-374.0.jpg",null,ramp
"null/FGhyVkIwKEWjj7TMKMfOrgcrop6261.0,-1393.0.jpg",null,ramp
"null/JSStgvoYRDuhhkNjX6KBYwcrop9632.0,-1521.0.jpg",null,ramp
"missing_ramp/gp_qMztZRvfzZ3kaiHSgjgcrop11885.0,-407.0.jpg",missing_ramp,obstruction
"ramp/3zcrhqVZmXigArxxbhf3Xgcrop1891.0,-627.0.jpg",ramp,ramp
"null/KTi_qgxtyo5U5Thu_n9kuQcrop5345.0,-1612.0.jpg",null,null
"null/ZwnmaRrJ0Wy4GqBPJQRrZwcrop6735.0,-841.0.jpg",null,ramp
"null/lnIlmZwy83ZW1J8RfaFvtQcrop2873.0,-207.0.jpg",null,null
"null/yw-BcZnzVH4uYKDIp77mCAcrop7207.0,-490.0.jpg",null,obstruction
"null/7c0Z_fACjr9IYQWZt-kIKwcrop10114.0,-251.0.jpg",null,ramp
"null/vgWIpyO2xEL8ceVKK8u4QAcrop7527.0,-1595.0.jpg",null,null
"null/tMFdyUdtKduVYsbRA-fFIwcrop3697.0,-700.0.jpg",null,missing_ramp
"null/VNQoX0jKHUnS-3q2WUrRYAcrop10732.0,-871.0.jpg",null,obstruction
"null/stDI8OyeoPKmesuBF0YQ3Acrop7687.0,-1323.0.jpg",null,ramp
"null/o7UqeTzjamoadiXtyDV9EAcrop9375.0,-790.0.jpg",null,obstruction
"sfc_problem/7wNqOVKuDt4h6sFedMXJKgcrop8254.0,-482.0.jpg",sfc_problem,obstruction
"null/fuYW1uGYLzBBwmPI90m_aAcrop10768.0,-1292.0.jpg",null,ramp
"null/J-iXvlglu5rx3mWnPa3-zgcrop4283.0,-1170.0.jpg",null,missing_ramp
"null/6_ls3eHi82wE2Qaru535tQcrop12876.0,-715.0.jpg",null,ramp
"ramp/4Czt4q0BsHpIvLTRccKRuQcrop10139.0,-807.0.jpg",ramp,obstruction
"null/0o5UD2lV47rsCz1NNl2_WQcrop11272.0,-305.0.jpg",null,null
"null/ys0R6hiC0wJ_XElLZuaC9Qcrop676.0,-812.0.jpg",null,obstruction
"ramp/7LNl50ku5osLMTIJOLVdGgcrop8662.0,-848.0.jpg",ramp,ramp
"null/9CfmHZ4Q14jc82WsYDSt_Qcrop7756.0,-1164.0.jpg",null,ramp
"null/ecIueXle-oA4ZYUW-tQEfwcrop1817.0,-1341.0.jpg",null,null
"null/treyXG0iNYWO-B5UX1nRbwcrop12867.0,-1525.0.jpg",null,null
"sfc_problem/yniMIVaOvbrF21Hv797hZwcrop9259.0,-628.0.jpg",sfc_problem,obstruction
"null/RgBzCZxfTmPn3XJb42EG0gcrop5167.0,-397.0.jpg",null,obstruction
"null/7cwGTyrtV6yKUtHO6TmUewcrop10190.0,-214.0.jpg",null,null
"null/MqOcd67eW4Tgmcq9o3gRtwcrop10799.0,-840.0.jpg",null,obstruction
"null/feVoMqo1b_bYWuBgbQRhPgcrop12505.0,-276.0.jpg",null,obstruction
"null/j7eagtd_5VW-wl7QS4hBwAcrop1691.0,-99.0.jpg",null,null
"null/lwvaGFhKnIH30wgMojGB1Qcrop3280.0,-802.0.jpg",null,null
"null/-BPVTwhyTejjLbIJiUVYIQcrop2370.0,-23.0.jpg",null,null
"ramp/3p46McMD5I9JwL7qNeUnZAcrop13117.0,-143.0.jpg",ramp,null
"null/B6_PtH4DtfLLurYCF4emHQcrop9215.0,-621.0.jpg",null,obstruction
"null/MhFLtcj3eD20tSej_Z5LFwcrop8236.0,-1208.0.jpg",null,obstruction
"null/8zgboCbVueHcrT9GYjkIhQcrop3243.0,-492.0.jpg",null,obstruction
"null/qdtf_Yb4BQ8Py-AZIHyKTwcrop11070.0,-875.0.jpg",null,ramp
"null/_RO5gx50nZuCqrofoj4EQgcrop12415.0,-458.0.jpg",null,obstruction
