LabelId	LabelBinId	LabelGSVPanoramaId	LabelTypeId	svImageX	svImageY	originalCanvasX	originalCanvasY	originalHeading	heading	originalPitch	pitch	labelLat	labelLng
3291	1	UBifa1J_Ez-lZrx5mB_4wg	1	5198	-637	NULL	NULL	NULL	141	NULL	-17	38.93285	-77.039922
3291	1	UBifa1J_Ez-lZrx5mB_4wg	1	5900	-637	NULL	NULL	NULL	141	NULL	-17	38.93285	-77.039922
3291	1	UBifa1J_Ez-lZrx5mB_4wg	1	5900	-923	NULL	NULL	NULL	141	NULL	-17	38.93285	-77.039922
3291	1	UBifa1J_Ez-lZrx5mB_4wg	1	5198	-923	NULL	NULL	NULL	141	NULL	-17	38.93285	-77.039922
3292	1	UBifa1J_Ez-lZrx5mB_4wg	1	1545	-754	NULL	NULL	NULL	42	NULL	-20	38.93285	-77.039922
3292	1	UBifa1J_Ez-lZrx5mB_4wg	1	2273	-754	NULL	NULL	NULL	42	NULL	-20	38.93285	-77.039922
3292	1	UBifa1J_Ez-lZrx5mB_4wg	1	2273	-1053	NULL	NULL	NULL	42	NULL	-20	38.93285	-77.039922
3292	1	UBifa1J_Ez-lZrx5mB_4wg	1	1545	-1053	NULL	NULL	NULL	42	NULL	-20	38.93285	-77.039922
3293	1	UBifa1J_Ez-lZrx5mB_4wg	1	5562	-364	NULL	NULL	NULL	150	NULL	-10	38.93285	-77.039922
3293	1	UBifa1J_Ez-lZrx5mB_4wg	1	6264	-364	NULL	NULL	NULL	150	NULL	-10	38.93285	-77.039922
3293	1	UBifa1J_Ez-lZrx5mB_4wg	1	6264	-650	NULL	NULL	NULL	150	NULL	-10	38.93285	-77.039922
3293	1	UBifa1J_Ez-lZrx5mB_4wg	1	5562	-650	NULL	NULL	NULL	150	NULL	-10	38.93285	-77.039922
3294	1	UBifa1J_Ez-lZrx5mB_4wg	1	1324	-2015	NULL	NULL	NULL	36	NULL	-54	38.93285	-77.039922
3294	1	UBifa1J_Ez-lZrx5mB_4wg	1	1922	-2015	NULL	NULL	NULL	36	NULL	-54	38.93285	-77.039922
3294	1	UBifa1J_Ez-lZrx5mB_4wg	1	1922	-2262	NULL	NULL	NULL	36	NULL	-54	38.93285	-77.039922
3294	1	UBifa1J_Ez-lZrx5mB_4wg	1	1324	-2262	NULL	NULL	NULL	36	NULL	-54	38.93285	-77.039922
3295	1	UBifa1J_Ez-lZrx5mB_4wg	1	8695	-1911	NULL	NULL	NULL	235	NULL	-52	38.93285	-77.039922
3295	1	UBifa1J_Ez-lZrx5mB_4wg	1	9358	-1911	NULL	NULL	NULL	235	NULL	-52	38.93285	-77.039922
3295	1	UBifa1J_Ez-lZrx5mB_4wg	1	9358	-2184	NULL	NULL	NULL	235	NULL	-52	38.93285	-77.039922
3295	1	UBifa1J_Ez-lZrx5mB_4wg	1	8695	-2184	NULL	NULL	NULL	235	NULL	-52	38.93285	-77.039922
3296	1	UBifa1J_Ez-lZrx5mB_4wg	1	4054	-1989	NULL	NULL	NULL	110	NULL	-54	38.93285	-77.039922
3296	1	UBifa1J_Ez-lZrx5mB_4wg	1	4717	-1989	NULL	NULL	NULL	110	NULL	-54	38.93285	-77.039922
3296	1	UBifa1J_Ez-lZrx5mB_4wg	1	4717	-2262	NULL	NULL	NULL	110	NULL	-54	38.93285	-77.039922
3296	1	UBifa1J_Ez-lZrx5mB_4wg	1	4054	-2262	NULL	NULL	NULL	110	NULL	-54	38.93285	-77.039922
3297	1	UBifa1J_Ez-lZrx5mB_4wg	1	8578	-832	NULL	NULL	NULL	232	NULL	-23	38.93285	-77.039922
3297	1	UBifa1J_Ez-lZrx5mB_4wg	1	9241	-832	NULL	NULL	NULL	232	NULL	-23	38.93285	-77.039922
3297	1	UBifa1J_Ez-lZrx5mB_4wg	1	9241	-1105	NULL	NULL	NULL	232	NULL	-23	38.93285	-77.039922
3297	1	UBifa1J_Ez-lZrx5mB_4wg	1	8578	-1105	NULL	NULL	NULL	232	NULL	-23	38.93285	-77.039922
3298	1	UBifa1J_Ez-lZrx5mB_4wg	1	726	-637	NULL	NULL	NULL	20	NULL	-17	38.93285	-77.039922
3298	1	UBifa1J_Ez-lZrx5mB_4wg	1	1350	-637	NULL	NULL	NULL	20	NULL	-17	38.93285	-77.039922
3298	1	UBifa1J_Ez-lZrx5mB_4wg	1	1350	-897	NULL	NULL	NULL	20	NULL	-17	38.93285	-77.039922
3298	1	UBifa1J_Ez-lZrx5mB_4wg	1	726	-897	NULL	NULL	NULL	20	NULL	-17	38.93285	-77.039922
3299	1	UBifa1J_Ez-lZrx5mB_4wg	1	7200	-1040	NULL	NULL	NULL	195	NULL	-28	38.93285	-77.039922
3299	1	UBifa1J_Ez-lZrx5mB_4wg	1	7863	-1040	NULL	NULL	NULL	195	NULL	-28	38.93285	-77.039922
3299	1	UBifa1J_Ez-lZrx5mB_4wg	1	7863	-1313	NULL	NULL	NULL	195	NULL	-28	38.93285	-77.039922
3299	1	UBifa1J_Ez-lZrx5mB_4wg	1	7200	-1313	NULL	NULL	NULL	195	NULL	-28	38.93285	-77.039922
3300	1	UBifa1J_Ez-lZrx5mB_4wg	1	10931	-845	NULL	NULL	NULL	296	NULL	-23	38.93285	-77.039922
3300	1	UBifa1J_Ez-lZrx5mB_4wg	1	11529	-845	NULL	NULL	NULL	296	NULL	-23	38.93285	-77.039922
3300	1	UBifa1J_Ez-lZrx5mB_4wg	1	11529	-1092	NULL	NULL	NULL	296	NULL	-23	38.93285	-77.039922
3300	1	UBifa1J_Ez-lZrx5mB_4wg	1	10931	-1092	NULL	NULL	NULL	296	NULL	-23	38.93285	-77.039922
3111	2	kRjtQwgfCKXy0gRwSg446w	1	8062	-455	NULL	NULL	NULL	218	NULL	-12	38.930571	-77.041302
3111	2	kRjtQwgfCKXy0gRwSg446w	1	8725	-455	NULL	NULL	NULL	218	NULL	-12	38.930571	-77.041302
3111	2	kRjtQwgfCKXy0gRwSg446w	1	8725	-728	NULL	NULL	NULL	218	NULL	-12	38.930571	-77.041302
3111	2	kRjtQwgfCKXy0gRwSg446w	1	8062	-728	NULL	NULL	NULL	218	NULL	-12	38.930571	-77.041302
3112	2	kRjtQwgfCKXy0gRwSg446w	1	10428	-793	NULL	NULL	NULL	282	NULL	-21	38.930571	-77.041302
3112	2	kRjtQwgfCKXy0gRwSg446w	1	11156	-793	NULL	NULL	NULL	282	NULL	-21	38.930571	-77.041302
3112	2	kRjtQwgfCKXy0gRwSg446w	1	11156	-1092	NULL	NULL	NULL	282	NULL	-21	38.930571	-77.041302
3112	2	kRjtQwgfCKXy0gRwSg446w	1	10428	-1092	NULL	NULL	NULL	282	NULL	-21	38.930571	-77.041302
3113	2	kRjtQwgfCKXy0gRwSg446w	1	1354	-845	NULL	NULL	NULL	37	NULL	-23	38.930571	-77.041302
3113	2	kRjtQwgfCKXy0gRwSg446w	1	2056	-845	NULL	NULL	NULL	37	NULL	-23	38.930571	-77.041302
3113	2	kRjtQwgfCKXy0gRwSg446w	1	2056	-1131	NULL	NULL	NULL	37	NULL	-23	38.930571	-77.041302
3113	2	kRjtQwgfCKXy0gRwSg446w	1	1354	-1131	NULL	NULL	NULL	37	NULL	-23	38.930571	-77.041302
3114	2	kRjtQwgfCKXy0gRwSg446w	1	470	-1300	NULL	NULL	NULL	13	NULL	-35	38.930571	-77.041302
3114	2	kRjtQwgfCKXy0gRwSg446w	1	1094	-1300	NULL	NULL	NULL	13	NULL	-35	38.930571	-77.041302
3114	2	kRjtQwgfCKXy0gRwSg446w	1	1094	-1560	NULL	NULL	NULL	13	NULL	-35	38.930571	-77.041302
3114	2	kRjtQwgfCKXy0gRwSg446w	1	470	-1560	NULL	NULL	NULL	13	NULL	-35	38.930571	-77.041302
3115	2	kRjtQwgfCKXy0gRwSg446w	1	2329	-741	NULL	NULL	NULL	63	NULL	-20	38.930571	-77.041302
3115	2	kRjtQwgfCKXy0gRwSg446w	1	2992	-741	NULL	NULL	NULL	63	NULL	-20	38.930571	-77.041302
3115	2	kRjtQwgfCKXy0gRwSg446w	1	2992	-1014	NULL	NULL	NULL	63	NULL	-20	38.930571	-77.041302
3115	2	kRjtQwgfCKXy0gRwSg446w	1	2329	-1014	NULL	NULL	NULL	63	NULL	-20	38.930571	-77.041302
3116	2	kRjtQwgfCKXy0gRwSg446w	1	5098	-637	NULL	NULL	NULL	138	NULL	-17	38.930571	-77.041302
3116	2	kRjtQwgfCKXy0gRwSg446w	1	5826	-637	NULL	NULL	NULL	138	NULL	-17	38.930571	-77.041302
3116	2	kRjtQwgfCKXy0gRwSg446w	1	5826	-936	NULL	NULL	NULL	138	NULL	-17	38.930571	-77.041302
3116	2	kRjtQwgfCKXy0gRwSg446w	1	5098	-936	NULL	NULL	NULL	138	NULL	-17	38.930571	-77.041302
3117	2	kRjtQwgfCKXy0gRwSg446w	1	2147	-975	NULL	NULL	NULL	58	NULL	-26	38.930571	-77.041302
3117	2	kRjtQwgfCKXy0gRwSg446w	1	2745	-975	NULL	NULL	NULL	58	NULL	-26	38.930571	-77.041302
3117	2	kRjtQwgfCKXy0gRwSg446w	1	2745	-1222	NULL	NULL	NULL	58	NULL	-26	38.930571	-77.041302
3117	2	kRjtQwgfCKXy0gRwSg446w	1	2147	-1222	NULL	NULL	NULL	58	NULL	-26	38.930571	-77.041302
3118	2	kRjtQwgfCKXy0gRwSg446w	1	886	-1105	NULL	NULL	NULL	24	NULL	-30	38.930571	-77.041302
3118	2	kRjtQwgfCKXy0gRwSg446w	1	1614	-1105	NULL	NULL	NULL	24	NULL	-30	38.930571	-77.041302
3118	2	kRjtQwgfCKXy0gRwSg446w	1	1614	-1404	NULL	NULL	NULL	24	NULL	-30	38.930571	-77.041302
3118	2	kRjtQwgfCKXy0gRwSg446w	1	886	-1404	NULL	NULL	NULL	24	NULL	-30	38.930571	-77.041302
3119	2	kRjtQwgfCKXy0gRwSg446w	1	4721	-520	NULL	NULL	NULL	128	NULL	-14	38.930571	-77.041302
3119	2	kRjtQwgfCKXy0gRwSg446w	1	5345	-520	NULL	NULL	NULL	128	NULL	-14	38.930571	-77.041302
3119	2	kRjtQwgfCKXy0gRwSg446w	1	5345	-780	NULL	NULL	NULL	128	NULL	-14	38.930571	-77.041302
3119	2	kRjtQwgfCKXy0gRwSg446w	1	4721	-780	NULL	NULL	NULL	128	NULL	-14	38.930571	-77.041302
3120	2	kRjtQwgfCKXy0gRwSg446w	1	4201	-143	NULL	NULL	NULL	114	NULL	-4	38.930571	-77.041302
3120	2	kRjtQwgfCKXy0gRwSg446w	1	4864	-143	NULL	NULL	NULL	114	NULL	-4	38.930571	-77.041302
3120	2	kRjtQwgfCKXy0gRwSg446w	1	4864	-416	NULL	NULL	NULL	114	NULL	-4	38.930571	-77.041302
3120	2	kRjtQwgfCKXy0gRwSg446w	1	4201	-416	NULL	NULL	NULL	114	NULL	-4	38.930571	-77.041302
2971	3	_lE3ro4o62nBgZOOQjBEbw	1	5544	-741	NULL	NULL	NULL	150	NULL	-20	38.893864	-77.023952
2971	3	_lE3ro4o62nBgZOOQjBEbw	1	6168	-741	NULL	NULL	NULL	150	NULL	-20	38.893864	-77.023952
2971	3	_lE3ro4o62nBgZOOQjBEbw	1	6168	-1001	NULL	NULL	NULL	150	NULL	-20	38.893864	-77.023952
2971	3	_lE3ro4o62nBgZOOQjBEbw	1	5544	-1001	NULL	NULL	NULL	150	NULL	-20	38.893864	-77.023952
2972	3	_lE3ro4o62nBgZOOQjBEbw	1	2892	-260	NULL	NULL	NULL	78	NULL	-7	38.893864	-77.023952
2972	3	_lE3ro4o62nBgZOOQjBEbw	1	3594	-260	NULL	NULL	NULL	78	NULL	-7	38.893864	-77.023952
2972	3	_lE3ro4o62nBgZOOQjBEbw	1	3594	-546	NULL	NULL	NULL	78	NULL	-7	38.893864	-77.023952
2972	3	_lE3ro4o62nBgZOOQjBEbw	1	2892	-546	NULL	NULL	NULL	78	NULL	-7	38.893864	-77.023952
2973	3	_lE3ro4o62nBgZOOQjBEbw	1	5674	-286	NULL	NULL	NULL	153	NULL	-8	38.893864	-77.023952
2973	3	_lE3ro4o62nBgZOOQjBEbw	1	6376	-286	NULL	NULL	NULL	153	NULL	-8	38.893864	-77.023952
2973	3	_lE3ro4o62nBgZOOQjBEbw	1	6376	-572	NULL	NULL	NULL	153	NULL	-8	38.893864	-77.023952
2973	3	_lE3ro4o62nBgZOOQjBEbw	1	5674	-572	NULL	NULL	NULL	153	NULL	-8	38.893864	-77.023952
2974	3	_lE3ro4o62nBgZOOQjBEbw	1	9249	-507	NULL	NULL	NULL	250	NULL	-14	38.893864	-77.023952
2974	3	_lE3ro4o62nBgZOOQjBEbw	1	9873	-507	NULL	NULL	NULL	250	NULL	-14	38.893864	-77.023952
2974	3	_lE3ro4o62nBgZOOQjBEbw	1	9873	-767	NULL	NULL	NULL	250	NULL	-14	38.893864	-77.023952
2974	3	_lE3ro4o62nBgZOOQjBEbw	1	9249	-767	NULL	NULL	NULL	250	NULL	-14	38.893864	-77.023952
2975	3	_lE3ro4o62nBgZOOQjBEbw	1	7650	-988	NULL	NULL	NULL	207	NULL	-27	38.893864	-77.023952
2975	3	_lE3ro4o62nBgZOOQjBEbw	1	8378	-988	NULL	NULL	NULL	207	NULL	-27	38.893864	-77.023952
2975	3	_lE3ro4o62nBgZOOQjBEbw	1	8378	-1287	NULL	NULL	NULL	207	NULL	-27	38.893864	-77.023952
2975	3	_lE3ro4o62nBgZOOQjBEbw	1	7650	-1287	NULL	NULL	NULL	207	NULL	-27	38.893864	-77.023952
2976	3	_lE3ro4o62nBgZOOQjBEbw	1	8599	-1976	NULL	NULL	NULL	233	NULL	-53	38.893864	-77.023952
2976	3	_lE3ro4o62nBgZOOQjBEbw	1	9197	-1976	NULL	NULL	NULL	233	NULL	-53	38.893864	-77.023952
2976	3	_lE3ro4o62nBgZOOQjBEbw	1	9197	-2223	NULL	NULL	NULL	233	NULL	-53	38.893864	-77.023952
2976	3	_lE3ro4o62nBgZOOQjBEbw	1	8599	-2223	NULL	NULL	NULL	233	NULL	-53	38.893864	-77.023952
2977	3	_lE3ro4o62nBgZOOQjBEbw	1	8235	-312	NULL	NULL	NULL	223	NULL	-8	38.893864	-77.023952
2977	3	_lE3ro4o62nBgZOOQjBEbw	1	8859	-312	NULL	NULL	NULL	223	NULL	-8	38.893864	-77.023952
2977	3	_lE3ro4o62nBgZOOQjBEbw	1	8859	-572	NULL	NULL	NULL	223	NULL	-8	38.893864	-77.023952
2977	3	_lE3ro4o62nBgZOOQjBEbw	1	8235	-572	NULL	NULL	NULL	223	NULL	-8	38.893864	-77.023952
2978	3	_lE3ro4o62nBgZOOQjBEbw	1	6844	-1092	NULL	NULL	NULL	185	NULL	-30	38.893864	-77.023952
2978	3	_lE3ro4o62nBgZOOQjBEbw	1	7507	-1092	NULL	NULL	NULL	185	NULL	-30	38.893864	-77.023952
2978	3	_lE3ro4o62nBgZOOQjBEbw	1	7507	-1365	NULL	NULL	NULL	185	NULL	-30	38.893864	-77.023952
2978	3	_lE3ro4o62nBgZOOQjBEbw	1	6844	-1365	NULL	NULL	NULL	185	NULL	-30	38.893864	-77.023952
2979	3	_lE3ro4o62nBgZOOQjBEbw	1	7390	-195	NULL	NULL	NULL	200	NULL	-5	38.893864	-77.023952
2979	3	_lE3ro4o62nBgZOOQjBEbw	1	8092	-195	NULL	NULL	NULL	200	NULL	-5	38.893864	-77.023952
2979	3	_lE3ro4o62nBgZOOQjBEbw	1	8092	-481	NULL	NULL	NULL	200	NULL	-5	38.893864	-77.023952
2979	3	_lE3ro4o62nBgZOOQjBEbw	1	7390	-481	NULL	NULL	NULL	200	NULL	-5	38.893864	-77.023952
2980	3	_lE3ro4o62nBgZOOQjBEbw	1	4114	-143	NULL	NULL	NULL	111	NULL	-4	38.893864	-77.023952
2980	3	_lE3ro4o62nBgZOOQjBEbw	1	4816	-143	NULL	NULL	NULL	111	NULL	-4	38.893864	-77.023952
2980	3	_lE3ro4o62nBgZOOQjBEbw	1	4816	-429	NULL	NULL	NULL	111	NULL	-4	38.893864	-77.023952
2980	3	_lE3ro4o62nBgZOOQjBEbw	1	4114	-429	NULL	NULL	NULL	111	NULL	-4	38.893864	-77.023952
3371	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9321	-650	NULL	NULL	NULL	252	NULL	-18	38.934136	-77.044186
3371	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9919	-650	NULL	NULL	NULL	252	NULL	-18	38.934136	-77.044186
3371	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9919	-897	NULL	NULL	NULL	252	NULL	-18	38.934136	-77.044186
3371	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9321	-897	NULL	NULL	NULL	252	NULL	-18	38.934136	-77.044186
3372	4	Wz5hQ6tGkH85GNEdnkGd1w	1	624	-429	NULL	NULL	NULL	17	NULL	-12	38.934136	-77.044186
3372	4	Wz5hQ6tGkH85GNEdnkGd1w	1	1287	-429	NULL	NULL	NULL	17	NULL	-12	38.934136	-77.044186
3372	4	Wz5hQ6tGkH85GNEdnkGd1w	1	1287	-702	NULL	NULL	NULL	17	NULL	-12	38.934136	-77.044186
3372	4	Wz5hQ6tGkH85GNEdnkGd1w	1	624	-702	NULL	NULL	NULL	17	NULL	-12	38.934136	-77.044186
3373	4	Wz5hQ6tGkH85GNEdnkGd1w	1	5577	-611	NULL	NULL	NULL	151	NULL	-17	38.934136	-77.044186
3373	4	Wz5hQ6tGkH85GNEdnkGd1w	1	6175	-611	NULL	NULL	NULL	151	NULL	-17	38.934136	-77.044186
3373	4	Wz5hQ6tGkH85GNEdnkGd1w	1	6175	-858	NULL	NULL	NULL	151	NULL	-17	38.934136	-77.044186
3373	4	Wz5hQ6tGkH85GNEdnkGd1w	1	5577	-858	NULL	NULL	NULL	151	NULL	-17	38.934136	-77.044186
3374	4	Wz5hQ6tGkH85GNEdnkGd1w	1	5720	-351	NULL	NULL	NULL	155	NULL	-9	38.934136	-77.044186
3374	4	Wz5hQ6tGkH85GNEdnkGd1w	1	6344	-351	NULL	NULL	NULL	155	NULL	-9	38.934136	-77.044186
3374	4	Wz5hQ6tGkH85GNEdnkGd1w	1	6344	-611	NULL	NULL	NULL	155	NULL	-9	38.934136	-77.044186
3374	4	Wz5hQ6tGkH85GNEdnkGd1w	1	5720	-611	NULL	NULL	NULL	155	NULL	-9	38.934136	-77.044186
3375	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9100	-923	NULL	NULL	NULL	246	NULL	-25	38.934136	-77.044186
3375	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9802	-923	NULL	NULL	NULL	246	NULL	-25	38.934136	-77.044186
3375	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9802	-1209	NULL	NULL	NULL	246	NULL	-25	38.934136	-77.044186
3375	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9100	-1209	NULL	NULL	NULL	246	NULL	-25	38.934136	-77.044186
3376	4	Wz5hQ6tGkH85GNEdnkGd1w	1	4472	-663	NULL	NULL	NULL	121	NULL	-18	38.934136	-77.044186
3376	4	Wz5hQ6tGkH85GNEdnkGd1w	1	5174	-663	NULL	NULL	NULL	121	NULL	-18	38.934136	-77.044186
3376	4	Wz5hQ6tGkH85GNEdnkGd1w	1	5174	-949	NULL	NULL	NULL	121	NULL	-18	38.934136	-77.044186
3376	4	Wz5hQ6tGkH85GNEdnkGd1w	1	4472	-949	NULL	NULL	NULL	121	NULL	-18	38.934136	-77.044186
3377	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9659	-1157	NULL	NULL	NULL	261	NULL	-31	38.934136	-77.044186
3377	4	Wz5hQ6tGkH85GNEdnkGd1w	1	10283	-1157	NULL	NULL	NULL	261	NULL	-31	38.934136	-77.044186
3377	4	Wz5hQ6tGkH85GNEdnkGd1w	1	10283	-1417	NULL	NULL	NULL	261	NULL	-31	38.934136	-77.044186
3377	4	Wz5hQ6tGkH85GNEdnkGd1w	1	9659	-1417	NULL	NULL	NULL	261	NULL	-31	38.934136	-77.044186
3378	4	Wz5hQ6tGkH85GNEdnkGd1w	1	11648	-728	NULL	NULL	NULL	315	NULL	-20	38.934136	-77.044186
