LabelId	LabelGSVPanoramaId	LabelTypeId	svImageX	svImageY	originalCanvasX	originalCanvasY	originalHeading	heading	originalPitch	pitch	labelLat	labelLng
474	5umV8SPGE1jidFGstzcQDA	1	1550	-1391	269	380	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	1826	-1270	329	354	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	2125	-1093	394	316	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	2305	-949	433	285	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	2217	-888	414	272	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	1656	-837	292	261	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	1362	-944	228	284	53	53	-20	-20	38.931455	-77.044185
474	5umV8SPGE1jidFGstzcQDA	1	1481	-1339	254	369	53	53	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	5155	-819	311	259	146	146	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	5187	-661	318	225	146	146	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	4975	-595	272	211	146	146	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	4621	-600	195	212	146	146	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	4621	-642	195	221	146	146	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	4768	-744	227	243	146	146	-20	-20	38.931455	-77.044185
475	5umV8SPGE1jidFGstzcQDA	1	4980	-800	273	255	146	146	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5401	-777	276	248	157	157	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5506	-730	299	238	157	157	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5525	-661	303	223	157	157	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5497	-605	297	211	157	157	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5470	-581	291	206	157	157	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5217	-591	236	208	157	157	-20	-20	38.931455	-77.044185
476	5umV8SPGE1jidFGstzcQDA	1	5175	-665	227	224	157	157	-20	-20	38.931455	-77.044185
